rel_path,file_basename,time_band,cand_landmark,cand_city,cand_state,cand_country,matched,match_level,lat,lon,region,source,confidence
afternoon\Aerial_view_on_the_tractor_traces_on_the_field__Nysa__Poland_horiz.jpg,Aerial_view_on_the_tractor_traces_on_the_field__Nysa__Poland_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_over_tropical_islands__Kerama_island_chain_in_Okinawa__Japan_horiz.jpg,Aerial_view_over_tropical_islands__Kerama_island_chain_in_Okinawa__Japan_horiz.jpg,afternoon,,,,Japan,japan,country,36.2048,138.2529,AS,gazetteer,med
afternoon\African_Lion_cub__Panthera_Leo___Botswana_vert.jpg,African_Lion_cub__Panthera_Leo___Botswana_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Agate_geode_macro_photo__Dunbar__Scotland__UK_horiz.jpg,Agate_geode_macro_photo__Dunbar__Scotland__UK_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Agave_cactus_in_Chisos_Mountains__Chihuahuan_Desert__Big_Bend_National_Park__Texas__USA_vert.jpg,Agave_cactus_in_Chisos_Mountains__Chihuahuan_Desert__Big_Bend_National_Park__Texas__USA_vert.jpg,afternoon,,,Texas,USA,texas,state,31.0,-100.0,NA,gazetteer,med
afternoon\Agia_Kyriaki_beach_on_Kefalonia_island__Greece_horiz.jpg,Agia_Kyriaki_beach_on_Kefalonia_island__Greece_horiz.jpg,afternoon,,,,Greece,greece,country,39.0742,21.8243,EU,gazetteer,med
afternoon\Aiguille_du_Midi__Chamonix_needles__Mont_Blanc__Haute_Savoie__Alps__France_vert.jpg,Aiguille_du_Midi__Chamonix_needles__Mont_Blanc__Haute_Savoie__Alps__France_vert.jpg,afternoon,,,,France,france,country,46.2276,2.2137,EU,gazetteer,med
afternoon\Akvaryum_Bay_aerial_view_with_boats__Bodrum__Mu_la__Turkey_vert.jpg,Akvaryum_Bay_aerial_view_with_boats__Bodrum__Mu_la__Turkey_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Alaskan_Husky_standing_near_the_waterfall__Iceland_vert.jpg,Alaskan_Husky_standing_near_the_waterfall__Iceland_vert.jpg,afternoon,,,,Iceland,iceland,country,64.9631,-19.0208,EU,gazetteer,med
afternoon\Alaska_Cotton_with_Denali_reflected_in_pond__Denali_National_Park__Alaska__USA_horiz.jpg,Alaska_Cotton_with_Denali_reflected_in_pond__Denali_National_Park__Alaska__USA_horiz.jpg,afternoon,,,Alaska,USA,alaska,state,64.2008,-149.4937,NA,gazetteer,med
afternoon\Alaska_Peninsula_brown_bear_hunting_for_salmon__Katmai_National_Park__Alaska__USA_vert.jpg,Alaska_Peninsula_brown_bear_hunting_for_salmon__Katmai_National_Park__Alaska__USA_vert.jpg,afternoon,,,Alaska,USA,alaska,state,64.2008,-149.4937,NA,gazetteer,med
afternoon\Albany_Covered_Bridge_along_Kancamagus_Highway_over_Swift_River__New_Hampshire__USA_horiz.jpg,Albany_Covered_Bridge_along_Kancamagus_Highway_over_Swift_River__New_Hampshire__USA_horiz.jpg,afternoon,,,New Hampshire,USA,new hampshire,state,43.1939,-71.5724,NA,gazetteer,med
afternoon\An_afternoon_view_of_the_east_grass_knoll_of_the_San_Andr_s_mayan_ruins_in_El_Salvador_vert.jpg,An_afternoon_view_of_the_east_grass_knoll_of_the_San_Andr_s_mayan_ruins_in_El_Salvador_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Coast_of_Plage_du_Port_Vieux_on_a_summer_afternoon__Biarritz__France_horiz.jpg,Coast_of_Plage_du_Port_Vieux_on_a_summer_afternoon__Biarritz__France_horiz.jpg,afternoon,,,,France,france,country,46.2276,2.2137,EU,gazetteer,med
afternoon\Dreamy_sunset_sea_sky_at_beach__Maldives__Noonu_Atoll_Sun_Siyam_Iru_Fushi_vert.jpg,Dreamy_sunset_sea_sky_at_beach__Maldives__Noonu_Atoll_Sun_Siyam_Iru_Fushi_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Fields_at_Hackpen_Hill_on_the_Malborough_Downs_in_autumn_afternoon__Wiltshire__England__UK_vert.jpg,Fields_at_Hackpen_Hill_on_the_Malborough_Downs_in_autumn_afternoon__Wiltshire__England__UK_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Flamingos_flying_by_the_shallow_water_in_late_afternoon_sunlight__Mussulo_Bay__Angola_vert.jpg,Flamingos_flying_by_the_shallow_water_in_late_afternoon_sunlight__Mussulo_Bay__Angola_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Gamboa_beach_in_Bahia_near_Itacare_under_afternoon_light__Ilha_de_Tinhar___Brazil_horiz.jpg,Gamboa_beach_in_Bahia_near_Itacare_under_afternoon_light__Ilha_de_Tinhar___Brazil_horiz.jpg,afternoon,,,,,,,,,,,
